speed,acceleration,impact_force,road_condition,is_accident,severity
67.1,5.8,8.53,gravel,1,medium
58.91,2.12,3.85,dry,0,none
53.3,1.43,5.57,wet,0,none
72.85,5.65,6.96,dry,0,none
46.74,3.88,9.9,muddy,1,high
62.31,1.27,5.18,dry,0,none
65.37,4.33,7.02,dry,1,medium
68.41,2.48,2.94,dry,0,none
67.73,5.27,9.13,wet,1,high
67.71,3.31,5.02,dry,0,none
68.56,4.36,7.96,wet,1,medium
77.03,5.4,3.38,gravel,0,none
48.41,3.68,0.36,dry,0,none
56.45,3.06,5.43,dry,0,none
70.29,0.67,0.37,muddy,0,none
35.81,5.02,3.6,wet,0,none
60.96,4.73,2.16,dry,0,none
43.83,3.93,0.85,dry,0,none
60.68,3.47,6.37,dry,0,none
50.23,4.49,9.76,wet,1,high
29.62,4.87,2.71,icy,0,none
62.8,2.91,0.78,dry,0,none
67.57,2.75,1.73,dry,0,none
72.99,1.36,2.5,dry,0,none
86.48,4.13,2.8,muddy,0,none
66.07,5.75,7.38,wet,1,medium
91.83,2.81,2.48,muddy,0,none
75.49,2.46,7.58,gravel,1,medium
66.66,3.11,0.98,dry,0,none
71.62,3.2,4.73,icy,0,none
56.21,2.69,6.16,wet,0,none
41.28,3.99,0.45,wet,0,none
81.62,3.27,8.56,dry,1,medium
38.46,4.12,1.63,wet,0,none
62.99,0.65,5.86,dry,0,none
51.0,5.67,5.75,dry,0,none
83.79,3.02,5.46,dry,0,none
41.43,5.68,3.86,muddy,0,none
64.21,0.89,3.19,gravel,0,none
50.66,5.15,0.23,dry,0,none
51.16,1.15,6.97,wet,0,none
72.74,3.96,8.77,dry,1,medium
72.19,2.05,1.77,muddy,0,none
69.44,4.63,8.07,gravel,1,medium
59.69,2.55,7.76,dry,1,medium
61.76,2.37,9.31,wet,1,high
56.73,4.63,7.55,wet,1,medium
76.48,1.07,9.03,dry,1,high
79.58,2.26,8.96,icy,1,medium
60.32,2.64,0.11,wet,0,none
64.86,5.73,5.73,icy,1,low
58.05,3.98,4.48,wet,0,none
44.91,4.2,7.52,dry,1,medium
41.79,4.85,7.9,dry,1,medium
59.82,0.82,5.5,dry,0,none
46.54,2.93,8.88,muddy,1,medium
47.62,1.29,7.62,gravel,1,medium
55.18,3.9,1.01,gravel,0,none
63.67,0.9,8.22,dry,1,medium
52.4,4.38,0.81,dry,0,none
38.28,4.97,9.47,gravel,1,high
38.89,5.92,7.53,muddy,1,medium
49.22,4.77,5.58,dry,0,none
56.8,2.83,9.06,dry,1,high
59.71,0.56,4.69,dry,0,none
44.96,0.81,1.19,icy,0,none
64.84,4.6,5.83,icy,1,low
47.59,5.79,3.75,dry,0,none
70.35,1.73,9.63,dry,1,high
53.98,0.57,9.7,wet,1,high
63.36,0.91,5.54,dry,0,none
60.19,5.83,5.23,gravel,1,low
81.77,3.0,6.28,dry,0,none
74.39,3.71,9.01,dry,1,high
92.85,2.03,1.88,wet,0,none
47.88,3.05,3.53,icy,0,none
48.61,5.86,9.86,dry,1,high
62.26,4.34,5.36,dry,0,none
74.26,4.27,1.63,muddy,0,none
51.35,5.51,8.23,wet,1,medium
40.2,5.63,8.66,dry,1,medium
87.47,0.75,0.26,wet,0,none
77.69,5.93,1.5,dry,0,none
52.96,3.77,3.81,dry,0,none
58.28,2.78,2.73,dry,0,none
78.57,0.81,8.65,wet,1,medium
60.08,4.73,9.45,dry,1,high
60.7,5.17,2.47,dry,0,none
43.99,5.75,6.06,dry,0,none
57.86,1.76,6.72,wet,0,none
36.99,1.12,6.72,dry,0,none
79.17,3.36,7.72,muddy,1,medium
77.69,3.54,5.61,gravel,1,low
61.01,5.32,4.03,dry,0,none
69.68,4.37,2.13,dry,0,none
80.53,1.25,0.15,wet,0,none
75.88,2.66,4.37,dry,0,none
33.62,5.47,3.48,dry,0,none
82.54,2.68,6.22,muddy,0,none
61.11,5.24,9.5,wet,1,high
34.45,3.03,9.8,dry,1,high
59.17,3.21,3.29,icy,0,none
40.43,0.92,1.29,gravel,0,none
70.05,1.2,1.52,dry,0,none
65.5,1.5,3.46,dry,0,none
45.9,5.43,4.74,dry,0,none
45.21,1.56,0.41,dry,0,none
67.56,1.43,2.79,dry,0,none
58.39,1.63,3.64,icy,0,none
44.47,3.27,6.9,wet,0,none
49.5,5.3,9.21,muddy,1,high
63.21,0.84,2.77,dry,0,none
69.21,1.51,2.09,dry,0,none
71.36,2.54,4.85,dry,0,none
37.27,3.04,7.47,gravel,1,medium
80.5,0.7,2.52,dry,0,none
68.65,3.31,5.32,dry,0,none
64.67,1.09,4.47,dry,0,none
35.9,1.98,3.77,dry,0,none
63.05,0.61,3.22,dry,0,none
50.3,1.16,8.91,dry,1,medium
43.78,3.76,6.79,muddy,0,none
59.88,0.98,5.37,dry,0,none
82.2,3.73,7.45,gravel,1,medium
44.44,2.06,3.63,wet,0,none
57.14,4.05,5.71,dry,0,none
39.02,1.06,1.53,muddy,0,none
68.44,1.85,1.61,gravel,0,none
51.11,1.45,8.97,muddy,1,medium
47.04,0.94,5.25,muddy,0,none
64.06,1.12,3.98,gravel,0,none
59.25,5.83,8.66,dry,1,medium
51.35,1.44,6.69,dry,0,none
71.33,5.61,5.57,dry,0,none
34.96,4.73,1.87,dry,0,none
68.15,2.28,4.25,dry,0,none
35.59,1.13,6.11,dry,0,none
60.72,2.09,5.81,muddy,0,none
59.01,3.43,0.52,dry,0,none
41.83,2.35,1.34,icy,0,none
75.09,1.9,6.82,dry,0,none
51.35,4.68,5.96,dry,0,none
22.93,2.42,9.3,muddy,1,high
48.05,5.07,9.65,muddy,1,high
65.57,5.66,1.81,wet,0,none
50.94,0.87,7.41,icy,1,medium
77.52,1.27,7.95,dry,1,medium
63.82,1.61,1.64,dry,0,none
65.92,4.16,5.23,muddy,0,none
53.69,2.47,8.77,wet,1,medium
78.02,2.92,3.77,wet,0,none
53.88,3.04,3.01,icy,0,none
60.28,1.78,9.0,dry,1,medium
85.15,2.61,5.44,wet,0,none
63.53,1.14,9.4,wet,1,high
71.56,3.95,3.35,gravel,0,none
65.08,3.91,5.33,dry,0,none
53.77,5.42,7.89,muddy,1,medium
53.11,1.87,7.44,dry,1,medium
47.25,0.68,5.7,dry,0,none
67.18,2.38,8.21,wet,1,medium
65.0,1.11,8.46,wet,1,medium
55.95,4.89,1.5,dry,0,none
45.32,1.76,7.22,dry,1,medium
73.04,4.32,5.43,gravel,1,low
80.33,1.88,3.46,dry,0,none
33.32,3.04,9.47,wet,1,high
82.44,1.34,5.86,wet,0,none
96.69,0.6,8.72,dry,1,medium
61.94,5.63,5.65,wet,0,none
67.22,4.39,1.53,wet,0,none
63.36,3.67,6.07,muddy,0,none
83.9,5.64,9.26,dry,1,high
52.33,2.98,1.13,icy,0,none
60.84,3.75,3.99,dry,0,none
76.41,0.8,3.35,dry,0,none
44.82,3.46,9.2,wet,1,high
35.18,2.4,3.47,dry,0,none
54.96,1.74,4.52,dry,0,none
85.04,1.27,1.76,icy,0,none
19.55,5.53,3.62,dry,0,none
59.19,3.69,6.32,dry,0,none
55.97,0.97,9.97,muddy,1,high
43.4,3.26,5.95,muddy,0,none
60.21,1.65,8.98,dry,1,medium
59.64,1.63,1.91,dry,0,none
59.51,3.61,0.66,dry,0,none
51.85,4.77,4.53,muddy,0,none
20.24,2.7,5.6,gravel,1,low
76.37,1.35,1.82,gravel,0,none
38.89,4.04,4.09,dry,0,none
48.33,0.64,1.56,dry,0,none
74.04,0.65,2.22,gravel,0,none
79.07,1.77,6.72,icy,1,medium
52.13,4.09,2.38,wet,0,none
67.34,1.05,2.43,muddy,0,none
70.66,5.07,3.97,wet,0,none
66.66,4.17,2.05,dry,0,none
68.9,0.57,0.86,gravel,0,none
55.36,1.64,0.27,dry,0,none
64.89,2.82,8.93,wet,1,medium
41.23,5.0,3.42,muddy,0,none
49.43,3.75,2.68,dry,0,none
38.87,3.93,4.09,dry,0,none
28.77,2.12,9.48,dry,1,high
85.45,4.7,1.4,wet,1,low
59.44,5.42,8.0,dry,1,medium
76.55,2.84,0.22,wet,0,none
64.62,3.98,2.58,icy,0,none
34.35,1.27,8.35,dry,1,medium
60.28,1.44,2.72,wet,0,none
65.21,0.6,9.14,dry,1,high
62.94,2.01,5.54,dry,0,none
45.32,4.08,8.3,muddy,1,medium
63.84,3.8,6.65,gravel,1,medium
74.74,1.46,9.14,dry,1,high
32.39,3.35,0.47,dry,0,none
40.81,1.41,7.38,dry,1,medium
62.8,1.85,3.89,dry,0,none
48.67,2.09,3.56,icy,0,none
45.36,3.62,4.76,wet,0,none
75.8,4.15,9.37,dry,1,high
47.12,0.67,2.62,icy,0,none
70.5,3.77,0.51,wet,0,none
98.4,2.34,7.71,dry,1,medium
58.56,1.09,0.75,dry,0,none
59.48,4.29,4.35,dry,0,none
86.56,1.86,8.19,gravel,1,medium
69.49,2.0,5.9,muddy,0,none
74.59,2.49,0.92,wet,0,none
58.88,1.52,5.42,gravel,1,low
69.31,5.3,7.32,wet,1,medium
68.4,4.31,8.49,dry,1,medium
76.21,1.87,4.89,dry,0,none
66.44,1.49,5.68,dry,0,none
63.12,5.54,0.34,gravel,0,none
43.78,5.58,9.71,icy,1,high
75.8,5.69,4.74,gravel,0,none
60.42,2.26,8.29,gravel,1,medium
60.45,0.7,5.96,dry,0,none
53.48,0.92,6.96,dry,0,none
55.36,2.37,7.25,dry,1,medium
57.2,3.47,7.91,icy,1,medium
53.4,2.25,6.26,gravel,1,medium
64.01,1.78,0.24,dry,0,none
73.34,5.29,0.21,wet,0,none
61.23,5.66,7.99,dry,1,medium
75.98,5.99,3.51,muddy,0,none
52.24,3.14,6.28,gravel,1,medium
81.14,5.31,9.84,muddy,1,high
53.32,2.82,7.38,gravel,1,medium
81.8,1.81,1.1,gravel,0,none
39.83,2.13,2.34,dry,0,none
46.22,0.73,0.18,icy,0,none
59.48,2.61,6.8,dry,0,none
63.51,1.7,9.5,muddy,1,high
74.76,5.7,4.67,gravel,0,none
56.79,3.87,1.67,gravel,0,none
62.5,3.84,5.13,gravel,1,low
67.39,1.77,1.77,dry,0,none
50.65,4.79,3.5,icy,0,none
51.67,0.82,9.69,dry,1,high
81.31,4.33,1.54,gravel,0,none
51.44,4.99,2.24,gravel,0,none
63.04,3.76,5.8,dry,0,none
37.26,1.0,8.77,gravel,1,medium
50.81,5.39,9.56,dry,1,high
54.18,5.24,8.1,dry,1,medium
69.88,0.98,4.08,icy,0,none
90.15,2.55,2.6,dry,0,none
59.5,0.95,2.2,dry,0,none
86.92,4.26,0.76,dry,0,none
59.75,3.14,5.92,dry,0,none
77.83,5.04,3.48,gravel,0,none
70.23,1.97,8.79,muddy,1,medium
87.7,4.89,6.58,dry,1,medium
72.31,4.34,6.8,wet,0,none
67.61,3.9,7.53,dry,1,medium
57.49,2.34,7.44,muddy,1,medium
62.2,1.38,8.18,wet,1,medium
60.43,0.54,2.87,muddy,0,none
79.18,3.89,9.81,dry,1,high
39.6,3.99,5.4,muddy,0,none
71.19,4.79,1.07,dry,0,none
63.74,5.8,3.42,muddy,0,none
83.66,3.98,9.32,dry,1,high
53.3,2.16,7.08,dry,1,medium
62.91,0.87,5.82,dry,0,none
77.93,0.75,8.72,icy,1,medium
37.15,5.85,9.69,dry,1,high
51.62,4.67,0.25,wet,0,none
65.66,0.62,3.24,wet,0,none
83.48,4.26,4.46,dry,0,none
59.01,2.0,9.97,wet,1,high
38.28,1.4,7.95,dry,1,medium
27.02,4.32,2.21,icy,0,none
63.66,4.1,2.73,dry,0,none
51.54,5.73,1.51,muddy,0,none
69.75,2.81,6.39,wet,0,none
58.51,2.69,2.74,icy,0,none
59.32,5.42,2.3,icy,0,none
63.65,1.67,0.31,wet,0,none
41.23,5.25,4.73,dry,0,none
81.66,5.83,1.86,dry,1,low
65.14,4.74,8.45,wet,1,medium
66.85,4.69,6.26,dry,0,none
62.95,4.88,4.82,dry,0,none
70.64,1.15,1.25,gravel,0,none
49.85,1.6,4.92,icy,0,none
87.01,0.85,5.82,dry,0,none
72.61,2.21,4.55,dry,0,none
50.21,0.56,0.72,dry,0,none
53.22,3.8,2.92,dry,0,none
23.64,4.32,8.6,dry,1,medium
45.5,1.83,9.87,dry,1,high
59.28,1.28,4.99,dry,0,none
82.55,3.58,0.1,muddy,0,none
73.16,2.3,5.18,wet,0,none
56.29,0.68,0.79,muddy,0,none
49.77,2.68,1.33,wet,0,none
86.97,4.9,2.0,dry,1,low
69.61,1.42,1.05,wet,0,none
80.99,0.67,9.36,dry,1,high
73.87,0.79,5.41,dry,0,none
70.47,4.43,8.02,dry,1,medium
65.9,2.37,8.15,wet,1,medium
79.76,2.99,6.44,wet,0,none
62.96,3.4,7.32,dry,1,medium
50.23,5.29,2.19,dry,0,none
52.74,5.87,3.37,dry,0,none
67.84,4.12,4.98,dry,0,none
51.39,3.55,7.19,muddy,1,medium
60.57,1.6,6.8,icy,1,medium
61.8,0.9,0.31,dry,0,none
56.14,5.28,7.27,dry,1,medium
34.97,4.58,4.25,wet,0,none
41.61,5.93,0.4,wet,0,none
38.03,5.27,5.79,dry,0,none
85.26,3.18,8.73,gravel,1,medium
53.12,5.45,4.22,icy,0,none
69.78,5.52,2.11,wet,0,none
36.35,3.93,6.32,dry,0,none
50.62,4.44,9.09,dry,1,high
65.94,1.49,2.38,dry,0,none
59.62,1.86,8.71,dry,1,medium
77.59,2.95,5.15,dry,0,none
77.23,1.4,3.91,gravel,0,none
33.9,5.83,2.58,dry,0,none
40.58,4.75,1.31,dry,0,none
77.41,5.83,4.54,wet,0,none
61.15,2.35,8.29,dry,1,medium
40.76,2.87,2.49,wet,0,none
82.51,1.42,1.68,dry,0,none
72.75,0.7,7.36,dry,1,medium
55.18,5.14,8.06,wet,1,medium
91.15,3.72,8.68,dry,1,medium
56.11,1.98,0.57,icy,0,none
57.05,3.42,9.37,icy,1,high
70.99,2.24,5.07,dry,0,none
58.79,0.73,1.48,dry,0,none
73.74,3.0,5.16,dry,0,none
65.2,3.19,6.67,muddy,0,none
76.62,1.61,6.73,wet,0,none
44.4,5.83,0.94,dry,0,none
50.64,5.27,1.77,dry,0,none
88.71,4.31,8.38,gravel,1,medium
62.26,3.23,6.18,dry,0,none
65.47,5.28,5.71,gravel,1,low
76.58,1.69,6.59,wet,0,none
77.81,2.67,6.51,muddy,0,none
64.54,6.0,0.48,wet,0,none
48.69,5.87,4.07,muddy,0,none
64.82,3.62,7.38,gravel,1,medium
66.33,5.33,4.04,wet,0,none
77.84,4.94,7.62,icy,1,medium
41.59,4.89,4.36,wet,0,none
57.75,3.49,0.06,gravel,0,none
61.88,2.29,3.66,wet,0,none
83.92,2.64,4.49,gravel,0,none
47.3,1.81,3.73,icy,0,none
84.63,3.91,4.63,dry,0,none
75.15,2.59,8.63,dry,1,medium
22.51,0.64,3.41,dry,0,none
94.36,2.59,3.99,wet,0,none
75.34,3.84,7.65,icy,1,medium
96.6,4.97,7.18,wet,1,medium
71.38,1.84,9.27,wet,1,high
64.22,0.83,9.34,dry,1,high
48.69,3.17,2.57,dry,0,none
55.79,2.07,3.07,dry,0,none
62.7,2.21,6.1,dry,0,none
80.88,4.44,2.73,dry,0,none
45.26,1.5,6.81,wet,0,none
56.63,1.5,5.25,dry,0,none
50.98,3.62,2.57,dry,0,none
64.8,5.8,4.84,wet,0,none
63.36,0.74,6.33,icy,1,medium
80.46,5.73,6.02,dry,1,medium
60.73,1.75,2.12,dry,0,none
60.61,3.86,4.11,wet,0,none
41.34,4.79,2.75,dry,0,none
49.61,5.02,4.24,dry,0,none
49.9,3.93,4.52,dry,0,none
64.18,3.73,1.68,muddy,0,none
69.51,1.69,0.96,wet,0,none
66.21,0.63,6.42,wet,0,none
74.46,1.78,3.91,gravel,0,none
93.16,3.77,4.97,icy,0,none
47.94,2.86,7.18,dry,1,medium
84.59,4.31,9.91,dry,1,high
68.53,2.01,0.79,dry,0,none
84.43,0.97,8.94,icy,1,medium
51.27,1.75,3.55,gravel,0,none
44.78,0.88,5.19,muddy,0,none
63.51,5.34,6.51,dry,0,none
36.66,3.43,3.24,icy,0,none
78.42,5.97,6.62,wet,0,none
41.86,3.57,7.31,wet,1,medium
49.42,3.59,9.58,dry,1,high
59.16,1.46,6.9,dry,0,none
62.54,1.03,4.5,dry,0,none
38.79,4.66,3.48,dry,0,none
76.37,5.6,2.35,dry,0,none
69.14,2.7,1.52,wet,0,none
78.2,3.37,6.24,dry,0,none
62.13,0.99,7.55,dry,1,medium
62.0,4.8,7.09,dry,1,medium
57.71,0.7,3.03,dry,0,none
48.21,0.98,9.37,wet,1,high
40.03,3.55,3.06,dry,0,none
43.45,3.8,5.16,dry,0,none
27.71,5.56,4.97,wet,0,none
61.23,2.59,8.78,dry,1,medium
58.52,5.27,8.06,wet,1,medium
49.98,0.95,4.03,dry,0,none
74.88,1.45,6.95,dry,0,none
60.42,4.03,8.22,dry,1,medium
59.86,1.23,8.62,dry,1,medium
59.62,3.83,7.65,dry,1,medium
72.27,1.46,5.03,dry,0,none
44.02,2.52,0.68,icy,0,none
55.42,0.64,1.35,dry,0,none
60.85,5.81,4.32,icy,0,none
67.95,2.21,5.06,gravel,1,low
45.91,4.02,2.16,dry,0,none
57.84,3.91,6.5,dry,0,none
56.8,0.82,9.95,dry,1,high
82.36,0.82,6.95,wet,0,none
50.8,4.31,0.62,muddy,0,none
55.46,3.3,9.97,dry,1,high
66.55,2.18,6.24,wet,0,none
77.86,3.4,4.26,icy,0,none
39.5,2.52,4.14,wet,0,none
56.63,5.05,7.34,icy,1,medium
51.35,0.61,2.6,muddy,0,none
21.13,4.68,1.37,dry,0,none
37.82,0.57,2.41,dry,0,none
62.75,5.87,8.02,dry,1,medium
59.77,1.1,5.48,dry,0,none
68.69,3.0,8.44,wet,1,medium
59.59,1.33,3.25,wet,0,none
46.0,4.56,4.76,dry,0,none
39.42,3.03,7.85,wet,1,medium
35.8,5.41,9.55,icy,1,high
49.96,4.28,4.38,dry,0,none
75.6,1.9,8.41,wet,1,medium
92.36,4.13,8.95,icy,1,medium
50.91,4.0,6.14,dry,0,none
60.48,1.33,7.37,gravel,1,medium
48.7,3.32,6.8,muddy,0,none
54.52,0.89,0.12,dry,0,none
62.77,5.76,7.38,dry,1,medium
39.79,2.42,7.75,dry,1,medium
45.43,4.14,1.85,wet,0,none
77.79,1.96,0.21,muddy,0,none
70.78,0.95,9.68,dry,1,high
74.94,3.94,3.82,icy,0,none
48.65,1.63,1.21,dry,0,none
79.92,4.04,5.3,wet,0,none
68.34,0.73,9.68,wet,1,high
50.35,5.89,6.02,dry,0,none
73.92,3.7,7.48,icy,1,medium
68.07,1.2,3.38,gravel,0,none
76.09,5.6,2.25,wet,0,none
44.33,2.92,6.13,dry,0,none
30.5,5.69,2.41,muddy,0,none
56.68,5.38,6.46,icy,1,medium
55.85,2.07,8.16,dry,1,medium
57.49,4.65,4.61,dry,0,none
64.24,5.13,7.28,dry,1,medium
69.94,1.48,5.45,wet,0,none
77.6,5.92,9.37,dry,1,high
66.0,5.0,2.14,gravel,0,none
50.23,3.28,8.41,gravel,1,medium
64.63,3.75,5.08,dry,0,none
85.53,2.14,5.65,muddy,0,none
71.3,4.0,7.61,wet,1,medium
65.72,1.38,4.62,gravel,0,none
56.86,4.9,2.04,icy,0,none
47.24,3.55,7.33,dry,1,medium
42.06,2.45,7.84,icy,1,medium
66.67,3.55,0.05,muddy,0,none
48.23,5.77,3.68,dry,0,none
69.72,2.3,1.49,gravel,0,none
70.84,5.98,3.68,wet,0,none
54.41,2.97,7.22,dry,1,medium
63.37,2.65,4.13,dry,0,none
73.99,4.33,0.03,icy,0,none
37.12,4.87,0.93,dry,0,none
78.94,3.74,4.81,gravel,0,none
51.54,3.69,5.61,gravel,1,low
62.77,3.58,6.03,dry,0,none
75.36,1.98,8.25,gravel,1,medium
68.89,3.24,0.77,dry,0,none
57.45,4.82,7.08,dry,1,medium
53.2,4.84,5.17,wet,0,none
42.87,2.31,4.34,dry,0,none
57.1,0.99,2.21,dry,0,none
82.7,5.99,9.33,gravel,1,high
69.46,4.03,4.21,dry,0,none
78.32,1.15,4.1,dry,0,none
68.73,5.12,3.84,icy,0,none
88.27,1.51,3.62,dry,0,none
83.15,2.34,0.26,gravel,0,none
62.11,2.14,9.41,icy,1,high
33.47,1.93,4.3,dry,0,none
67.7,3.02,4.83,dry,0,none
52.01,1.23,0.81,muddy,0,none
59.59,2.9,7.3,dry,1,medium
86.58,4.71,1.59,icy,1,low
45.02,4.63,6.57,dry,0,none
64.53,5.76,0.69,icy,0,none
58.5,1.94,2.47,wet,0,none
56.94,5.48,2.5,wet,0,none
73.7,2.97,7.77,dry,1,medium
47.95,0.86,4.88,icy,0,none
23.64,2.41,9.0,dry,1,medium
73.26,0.62,6.64,dry,0,none
61.0,5.65,0.52,wet,0,none
67.74,2.8,2.6,dry,0,none
71.91,1.59,5.65,wet,0,none
41.19,3.05,9.72,dry,1,high
35.77,1.13,1.51,wet,0,none
77.47,1.74,2.51,dry,0,none
63.01,3.38,1.15,icy,0,none
77.23,5.23,7.23,dry,1,medium
62.65,3.49,0.82,icy,0,none
54.49,3.02,4.85,dry,0,none
66.55,3.04,4.12,dry,0,none
73.56,4.08,5.45,dry,0,none
60.31,4.94,4.59,dry,0,none
49.08,0.79,7.86,dry,1,medium
50.31,1.41,3.3,wet,0,none
48.01,4.66,5.19,icy,1,low
64.85,5.34,8.71,dry,1,medium
56.21,1.81,4.51,dry,0,none
73.25,3.46,4.98,dry,0,none
58.83,1.08,6.57,icy,1,medium
53.6,4.77,9.64,muddy,1,high
77.23,1.62,5.23,wet,0,none
73.79,3.68,6.35,dry,0,none
49.98,4.89,3.96,dry,0,none
61.02,1.37,6.96,dry,0,none
72.79,4.86,3.17,dry,0,none
54.98,1.51,8.94,dry,1,medium
53.95,4.1,1.52,dry,0,none
90.94,0.96,8.82,wet,1,medium
43.99,4.92,5.05,dry,0,none
58.81,5.91,6.68,muddy,0,none
66.79,3.99,1.66,wet,0,none
57.19,1.39,0.13,wet,0,none
74.79,3.58,5.27,dry,0,none
68.69,0.94,7.31,gravel,1,medium
64.89,1.53,8.58,dry,1,medium
62.53,4.41,3.14,gravel,0,none
79.76,3.09,8.22,wet,1,medium
28.17,3.22,8.28,dry,1,medium
50.88,2.34,1.74,dry,0,none
72.61,1.05,2.4,dry,0,none
68.2,1.28,3.48,dry,0,none
84.23,4.08,6.21,muddy,0,none
55.17,2.44,8.41,dry,1,medium
66.06,3.99,1.26,gravel,0,none
59.64,4.22,3.25,dry,0,none
53.03,1.46,8.56,dry,1,medium
63.02,1.75,8.37,wet,1,medium
73.07,4.32,5.13,dry,0,none
39.81,2.18,2.13,dry,0,none
67.71,5.29,7.66,wet,1,medium
62.69,4.84,6.65,dry,0,none
66.15,4.19,5.6,muddy,0,none
56.38,1.11,4.47,dry,0,none
76.61,3.51,3.8,icy,0,none
58.19,5.87,1.11,wet,0,none
51.97,4.57,9.18,icy,1,high
58.64,2.04,8.58,dry,1,medium
67.7,4.65,8.05,wet,1,medium
56.11,0.6,9.63,dry,1,high
45.97,5.06,2.82,dry,0,none
76.29,5.3,1.13,gravel,0,none
65.51,1.03,2.42,muddy,0,none
87.57,0.57,4.69,dry,0,none
72.0,2.13,3.0,wet,0,none
35.76,4.59,0.48,wet,0,none
74.25,5.41,1.85,icy,0,none
85.66,0.93,2.4,muddy,0,none
61.05,0.85,8.31,dry,1,medium
77.43,3.79,1.15,dry,0,none
74.63,5.33,5.72,wet,0,none
67.52,3.35,4.3,dry,0,none
50.19,4.76,6.02,dry,0,none
32.54,5.41,4.43,dry,0,none
84.18,3.75,7.03,dry,1,medium
79.72,1.81,5.12,dry,0,none
56.31,3.18,6.52,wet,0,none
47.35,5.73,6.01,dry,0,none
60.65,3.99,0.71,dry,0,none
85.43,1.9,3.62,icy,0,none
50.82,1.27,2.77,icy,0,none
59.44,5.84,3.31,dry,0,none
38.91,3.86,2.81,wet,0,none
58.75,1.64,5.17,muddy,0,none
55.36,4.91,5.72,icy,1,low
48.72,3.32,2.93,wet,0,none
57.6,0.98,6.17,wet,0,none
70.07,1.13,3.45,muddy,0,none
76.14,3.21,7.02,dry,1,medium
60.32,5.96,1.31,wet,0,none
49.37,2.82,4.11,wet,0,none
37.29,5.49,7.14,muddy,1,medium
36.28,5.03,9.55,gravel,1,high
73.43,5.02,0.02,dry,0,none
52.75,1.92,0.6,dry,0,none
62.2,3.82,6.87,dry,0,none
55.97,3.01,3.69,icy,0,none
46.63,1.17,4.19,wet,0,none
58.03,0.94,3.55,dry,0,none
61.15,5.68,6.69,dry,0,none
43.64,3.77,0.1,wet,0,none
81.16,4.0,9.13,wet,1,high
74.3,4.48,1.21,muddy,0,none
64.31,5.46,0.66,wet,0,none
42.84,0.56,4.22,dry,0,none
61.63,2.12,4.86,dry,0,none
51.77,1.18,5.59,dry,0,none
61.39,2.39,7.29,dry,1,medium
